date,strategy_nav,n_positions,cash,position_value,strategy_daily_ret,strategy_cum_ret,drawdown
2024-01-25,1.0,0,100000.0,0.0,,0.0,0.0
2024-01-26,0.967292002613449,1,57318.1994373703,39411.0008239746,-0.03270799738655095,-0.03270799738655095,-0.03270799738655095
2024-03-11,1.078982001240158,1,57318.1994373703,50580.0006866455,0.11546668257872783,0.07898200124015808,0.0
2024-03-12,1.0911476548820496,2,42535.7665410614,66578.99894714355,0.011275121946342503,0.09114765488204957,0.0
2024-03-15,1.1158277551898956,1,57123.77702960968,54458.99848937989,0.022618478990832802,0.11582775518989563,0.0
2024-03-18,1.169161431482315,2,31671.143834877013,85244.99931335449,0.04779740963097212,0.1691614314823151,0.0
2024-03-26,1.1117614375858307,2,31671.143834877013,79504.99992370605,-0.04909501147648199,0.11176143758583068,-0.049095011476482035
2024-03-27,1.0689728040290831,2,41749.28159309387,65147.99880981445,-0.03848724385481683,0.06897280402908312,-0.08569272365254844
2024-03-28,1.0898299738830566,1,55027.99670166015,53955.000686645515,0.019511412989517085,0.08982997388305658,-0.06785329678441288
2024-03-29,1.0990347126384734,3,13267.47158428192,96635.99967956543,0.008446031927916708,0.09903471263847341,-0.05998035596755181
2024-04-01,1.1077007389287472,4,16705.074646277426,94064.99924659729,0.007885125183597852,0.10770073892874721,-0.05256818339931491
2024-04-02,1.0943263023602963,4,26288.629228949547,83144.00100708008,-0.012074052222250331,0.09432630236029627,-0.06400752462997306
2024-04-12,1.0482261809628963,2,40126.6161851263,64696.00191116333,-0.04212648576386124,0.048226180962896326,-0.10343759831872974
2024-04-15,1.0342473039090634,3,30499.72919881344,72925.0011920929,-0.01333574500208723,0.03424730390906339,-0.11539392588601008
2024-04-17,1.0376456992841243,2,39839.571263556485,63924.99866485596,0.003285863412180401,0.03764569928412431,-0.11248723115288645
2024-04-18,1.0406688914052487,3,20895.88937512875,83170.99976539612,0.002913510963530319,0.04066889140524865,-0.10990145297057727
2024-04-23,1.009941392520714,1,52970.13870275498,48024.000549316406,-0.02952668148179427,0.00994139252071391,-0.13618310925612293
2024-04-24,1.039594180653572,2,37230.41797380448,66729.00009155273,0.02936089990216928,0.03959418065357201,-0.11082066799318889
2024-04-25,1.0461446632291793,2,28850.466002483372,75764.00032043457,0.006300999656894124,0.04614466322917932,-0.1052179493272966
2024-04-26,1.0904546646024704,2,28850.466002483372,80195.00045776367,0.0423555201596284,0.09045466460247042,-0.06731899014155532
2024-04-29,1.1145638759443284,3,15248.38702985764,96208.0005645752,0.02210932019869616,0.11456387594432837,-0.04669804705135159
2024-05-27,1.0384481444356919,1,52562.8148555565,51281.999588012695,-0.06829194194379073,0.03844814443569189,-0.11180088867702305
2024-05-28,1.0219106572622298,2,33397.06624502183,68793.99948120117,-0.015925193050875697,0.02191065726222985,-0.12594563099245767
2024-05-29,1.01945065436306,2,33397.06624502183,68547.99919128418,-0.0024072582878824633,0.019450654363059927,-0.12804970561631096
2024-05-30,1.0151663181917667,4,21943.63138811589,79573.00043106079,-0.004202592987661569,0.015166318191766726,-0.1317141578090773
2024-06-03,1.038136296980381,1,51136.63079667092,52676.99890136718,0.022626813337866425,0.0381362969803809,-0.1120676161339112
2024-06-04,1.0465543203263286,2,17126.430796670924,87529.00123596191,0.008108784338273445,0.04655432032632856,-0.1048675639261721
2024-06-05,1.0063508544133188,2,34016.08662770272,66618.99881362915,-0.038415078063481434,0.0063508544133188405,-0.13925414633510252
2024-06-14,1.0291927946961403,1,49234.278096323025,53685.00137329101,0.022697789923513234,0.029192794696140334,-0.11971711777108168
2024-06-17,1.0281791867226602,2,31366.919221582426,71450.9994506836,-0.000984857238316983,0.028179186722660177,-0.12058407073941135
2024-06-26,0.9861475102913857,1,47629.74965584756,50985.00137329101,-0.040879719191020736,-0.013852489708614302,-0.15653434697969482
2024-06-27,0.9663538986046792,2,16410.387571649564,80225.00228881836,-0.02007165406811995,-0.03364610139532076,-0.1734640977854593
2024-06-28,0.9997038589318277,2,16410.387571649564,83559.9983215332,0.034511125142975496,-0.00029614106817232866,-0.14493941382897105
2024-07-01,1.0515865901108743,3,7306.657057962431,97852.001953125,0.051898100337916864,0.0515865901108743,-0.10056339373286902
2024-07-09,1.1542316883553507,2,16132.169232263579,99290.99960327148,0.09760974437079306,0.15423168835535073,-0.012769616517400667
2024-07-10,1.19064134623065,4,2688.1374135160595,116375.99720954895,0.03154449686542482,0.19064134623065,0.0
2024-07-26,1.1429992483447553,3,5159.91991351606,109140.00492095947,-0.04001381107477975,0.1429992483447553,-0.040013811074779776
2024-07-29,1.1563637823886397,4,3345.3757745695266,112291.00246429443,0.01169251341436861,0.15636378238863968,-0.028789159683162965
2024-08-06,0.9632268359740737,2,83003.6835440016,13319.000053405762,-0.16702092313511685,-0.03677316402592634,-0.1910016907917137
2024-08-07,0.971216843164015,3,29667.686322932263,67453.99799346924,0.008295042134972785,-0.02878315683598498,-0.1842910157297093
2024-08-09,0.9440011466323378,1,83114.1151267195,11285.999536514282,-0.028022265803190116,-0.055998853367662194,-0.20714902970498159
2024-08-12,0.9359548064589979,2,34315.480293040295,59280.0003528595,-0.008523655084577753,-0.06404519354100213,-0.21390701790924913
2024-09-10,0.8741792174685957,1,76995.92203010085,10421.999716758728,-0.06600274774389803,-0.12582078253140427,-0.2657913147094335
2024-09-11,0.8762872037642004,3,9643.721029686953,77984.9993467331,0.0024113891676684762,-0.12371279623579956,-0.26402085183891566
2024-09-18,0.9769272272341253,3,9643.721029686953,88049.00169372559,0.11484821761360098,-0.023072772765874716,-0.17949495847183874
2024-09-19,1.0184182847708227,4,6658.825814423586,95183.00266265869,0.04247098082645007,0.018418284770822746,-0.14464730458509067
2024-10-16,2.0330682805746556,4,6658.825814423586,196648.002243042,0.9962998612423402,1.0330682805746556,0.0
2024-10-17,2.1509967645666603,5,2811.672106003786,212288.00435066223,0.058005176274095405,1.1509967645666603,0.0
