feature,rf_importance,rf_importance_norm
vol_half_above_count,0.10495764578960602,0.10495764578960602
vol_change_1d,0.060229801976602985,0.060229801976602985
vol_half_above_4d,0.05174318440256163,0.05174318440256163
vol_double,0.044375492387617586,0.044375492387617586
volatility_20d,0.03342655242513657,0.03342655242513657
vol_ratio_5,0.02447681505902675,0.02447681505902675
K_slope,0.02255691504263733,0.02255691504263733
volatility_5d,0.02253972447761503,0.02253972447761503
brick_val_delta_3d,0.021345590339430877,0.021345590339430877
ret_1d,0.02062077932259724,0.02062077932259724
J_slope,0.017679760483042196,0.017679760483042196
upper_shadow,0.015576327344566623,0.015576327344566623
brick_reversal_strength,0.014983288566509432,0.014983288566509432
RSI_12,0.01379776458136071,0.01379776458136071
ma_120_bias,0.013746753351774199,0.013746753351774199
vol_ma20,0.013644755566181017,0.013644755566181017
vol_ratio_20,0.013628947913244848,0.013628947913244848
ma_60_bias,0.013429041626286992,0.013429041626286992
brick_val_delta,0.013250691940797619,0.013250691940797619
close_yellow_ratio,0.012761273760230295,0.012761273760230295
vol_ma5,0.012387636209724632,0.012387636209724632
brick_change,0.01233628597515811,0.01233628597515811
vol_sky_floor_ratio,0.012313069277056925,0.012313069277056925
K_D_cross,0.011848143749854096,0.011848143749854096
volume,0.011492947356716252,0.011492947356716252
D,0.011472882290512965,0.011472882290512965
BB_width,0.011206407098942484,0.011206407098942484
ret_20d,0.011179823681949719,0.011179823681949719
ret_60d,0.011154640455001905,0.011154640455001905
amplitude,0.011105243783443535,0.011105243783443535
J,0.011100350388314533,0.011100350388314533
MACD_HIST,0.011098561594263747,0.011098561594263747
yellow_line_slope,0.011076677228630245,0.011076677228630245
ma_5_bias,0.010927745879564112,0.010927745879564112
ma_10_bias,0.010782599490265467,0.010782599490265467
lower_shadow,0.0107803606126754,0.0107803606126754
RSI_6,0.010678500782787639,0.010678500782787639
ma_20_bias,0.010581628076725467,0.010581628076725467
brick_val_position,0.010563727320368312,0.010563727320368312
ret_5d,0.010388949028721606,0.010388949028721606
ret_10d,0.010185534399945635,0.010185534399945635
brick_val_accel,0.00997781488737063,0.00997781488737063
K,0.00981852995741062,0.00981852995741062
max_dd_20d,0.009711851272624073,0.009711851272624073
BB_upper,0.009633953045970433,0.009633953045970433
RSI_24,0.00957994251821577,0.00957994251821577
ma_120,0.009417548615752025,0.009417548615752025
J_prev,0.009201746306941996,0.009201746306941996
brick_quality,0.00916100418260398,0.00916100418260398
gap,0.009042858321093729,0.009042858321093729
ma_60,0.008969328285910589,0.008969328285910589
MACD_DEA,0.00888132752585123,0.00888132752585123
BB_pct_b,0.008752398718794652,0.008752398718794652
yellow_line,0.008703409021868452,0.008703409021868452
BB_lower,0.00867742077146606,0.00867742077146606
ma_20,0.00865578451912582,0.00865578451912582
brick_val,0.008650265973978926,0.008650265973978926
white_line,0.008590332832596323,0.008590332832596323
white_yellow_diff,0.008521355562240521,0.008521355562240521
MACD_DIF_slope,0.008118930411920485,0.008118930411920485
ma_5,0.007740081463681588,0.007740081463681588
brick_var6a,0.007391743533676767,0.007391743533676767
price_position_20,0.00735988379571329,0.00735988379571329
MACD_DIF,0.007176588577317788,0.007176588577317788
ma_10,0.0069419473789898425,0.0069419473789898425
brick_red_streak,0.0024126289300391555,0.0024126289300391555
brick_turning_from_deep,0.0014746611152483178,0.0014746611152483178
ma_5_20_cross,0.0006960978189082612,0.0006960978189082612
MACD_HIST_sign,0.00049977371318822,0.00049977371318822
brick_p_定式一,0.00047736448844375217,0.00047736448844375217
white_direction,0.0003859153987693328,0.0003859153987693328
brick_entry_signal,0.0002909879126465176,0.0002909879126465176
brick_p_定式三,0.0002898126582364353,0.0002898126582364353
brick_green_to_red,0.00025304625837982767,0.00025304625837982767
brick_cc_with_gain,0.00021001120473242602,0.00021001120473242602
vol_sky,0.00018561924386791483,0.00018561924386791483
brick_high_quality,0.00018245685048173325,0.00018245685048173325
brick_rising,0.00017090768370549764,0.00017090768370549764
brick_green_streak,0.00016223739618744803,0.00016223739618744803
brick_p_定式二,0.00010373597107347904,0.00010373597107347904
brick_red,6.313370806357791e-05,6.313370806357791e-05
brick_green_streak_5plus,3.274112946379227e-05,3.274112946379227e-05
brick_falling,0.0,0.0
brick_green_streak_3plus,0.0,0.0
brick_p_定式四,0.0,0.0
ma_20_60_cross,0.0,0.0
cross_below_yellow,0.0,0.0
brick_red_to_green,0.0,0.0
vol_after_double_shrink,0.0,0.0
vol_double_again,0.0,0.0
vol_floor,0.0,0.0
vol_long_yin_short,0.0,0.0
white_above_yellow,0.0,0.0
