name,total_return_pct,sharpe,win_rate,max_dd,n_trades,n_signals,avg_pnl_pct
Explosive_2.5x,61.213044500000024,1.6662489220378196,0.2692307692307692,0.0018426880047777508,104,104,1.7218392774924995
Strong_Pullback,57.18500210000001,1.2775015953215338,0.20714285714285716,1.9060660811622616e-05,140,140,1.7208017335797818
Tight_Jprev15_Gain3,41.92587540000001,1.197742269806707,0.17218543046357615,0.0,151,151,-0.21980929115864303
Phase2_Best_Signal,47.34687650000009,1.160719953148636,0.21641791044776118,2.033331030540755e-05,134,134,1.7114283362634704
Easy_Strong15,36.64690380000006,0.9183014631699369,0.19014084507042253,0.0,142,142,-0.3268245186616267
Hard_Strong25,35.44802490000008,0.877190531098146,0.18120805369127516,0.0010974174728710937,149,149,-0.5901425136572532
Brick_Resonance_2x,34.26814350000007,0.8707067844249549,0.16184971098265896,0.0,173,173,-0.28203817474049436
DEFAULT,33.74916750000008,0.8415780926024646,0.21935483870967742,0.0011336938204711952,155,155,0.29820231402341824
Conservative,31.431736300000047,0.785217745543191,0.2755905511811024,0.004553549073741326,127,127,1.4014733450076684
No_Discounts,34.723852800000074,0.7756381926795978,0.2125,0.0,160,160,1.5580968989732669
Strong_DeepShrink,31.14738710000009,0.7470051995679842,0.17341040462427745,2.284479253586183e-05,173,173,0.08648046938810579
Combined_Best,29.196291000000073,0.7238467523612311,0.2023121387283237,0.002128971150023454,173,173,0.24354363988972952
Loose_Jt70,26.179967300000072,0.6865088028464181,0.17682926829268292,2.374416278152076e-05,164,164,0.8562347604992309
Aggressive,25.673052000000073,0.6305394681126867,0.12935323383084577,0.0,201,201,-0.8924624386647946
Brick_Resonance_1x,21.473312800000066,0.5526704905564499,0.25547445255474455,0.0024685806497546856,137,137,1.1934410589421849
Tight_Shadow25,17.445865500000046,0.4396124889201032,0.2076923076923077,0.0049920367157226956,130,130,-0.4577673373649534
Tight_Gain5,13.14032980000006,0.3138185746126991,0.17721518987341772,0.0013663386304466122,158,158,-1.0545877726905513
Quality_Gain5_Jt70,-20.568354899999907,-0.4484918071451522,0.21951219512195122,0.3451560004182904,164,164,-1.54455974368353
